id,parent_id,name,alias,published,created,created_by,ordering,default
79,68,Frontliner Type,lookup_v1/frontlinerType,1,,,9,
80,68,Full Branding By,lookup_v1/fullBrandingBy,1,,,10,
81,68,Identity Type,lookup_v1/identityType,1,,,11,
82,6800,Lajang List,,0,,,12,
83,68,Martial Status,lookup_v1/maritalStatus,1,,,13,
84,68,Outlet Location,lookup_v1/outletLocation,1,,,14,
85,68,Outlet Ownership,lookup_v1/outletOwnership,1,,,15,
86,68,Outlet Status,lookup_v1/outletStatus,1,,,16,
87,68,Outlet Type,lookup_v1/outletType,1,,,17,
88,68,Religion,lookup_v1/religion,1,,,18,
89,68,Size of Business,lookup_v1/sizeOfBusiness,1,,,19,
90,68,Tipe Outlet,lookup_v1/tipeOutlet,1,,,20,
91,6800,KPI,,0,,,21,
94,41,Data - Sales Order,master/salesOrder,1,,,2,
95,21,Pengaturan Harga,product/manage_price,1,,,1,
96,21,Pengaturan Grup Tipe Produk Dan Harga,item/itemmanagement,1,,,2,
98,97,Baru - Penjualan (Sell In),sell/newsell,1,,,1,
59,21,Data Product,product/lists,1,,,3,
64,0,Application,,0,,,10,
43,0,Target,,1,,,6,
35,34,Kunjungan SFA,jc/sfa,0,,,1,
34,30,Kunjungan JC,jc,1,2014/04/07 20:32:13.000000000,admin,1,
56,3,Data Agent,agents,1,,,2,
93,68,Liburan,,1,,,22,
99,26,Peta Agent,gis/agent,1,,Rafi,0,
100,30,My KPI,mykpi,1,,,11,
101,42,View Return Swap,returns/returnSwap,1,,,,
197,30,Penjualan (Sell Out),,1,,ayu,5,
103,42,View Return Authorized,returns/returnAuthorized,1,,,,
414,397,Coin Distributor,,1,2017/03/01 16:03:56.000000000,andedi,,
105,26,Check Test,gis/check,1,,Rafi,6,
106,97,Data Penjualan (Sell In),sell,1,,,2,
107,43,Allocating Target,target/allocate,1,,Rizki 2,,
109,68,Gender,lookup_v1/gender,1,,,23,
112,68,Outlet Size,lookup_v1/outletSize,1,,,24,
113,68,Position,lookup_v1/position,1,,,25,
114,68,Password Minimal Length,lookup_v1/passwordMinLen,1,,,26,
115,68,Maximum User Attempt,lookup_v1/maxUserAtt,1,,,27,
116,68,Journey Cycle Minimum,lookup_v1/jourCyclMin,1,,,28,
117,68,Journey Cycle Maximum,lookup_v1/jourCyclMax,1,,,29,
118,68,gps interval,lookup_v2/gpsInterval,1,2012/04/29 15:07:20.000000000,teguh,30,
119,68,Value Amount Class Outlet Per Cluster,lookup_v1/outletClassAmount,1,,,31,
194,30,Konsinyasi,consignment,1,2012/07/19 22:10:41.000000000,Yaddi,6,
286,50,ID Cards,#,1,2015/08/03 20:59:14.314081000,admin,,
123,68,Sales Type,lookup_v1/salesType,1,,,32,
124,68,Channel,lookup_v1/channel,1,,,33,
125,43,Persetujuan KPI,target/approve,1,,Rizki 2,,
287,286,Outlet Owner,ktp,1,2015/08/03 21:00:03.359906000,admin,1,
127,21,Data Harga,product/view_prices,1,,,4,
128,21,Pencarian Produk,product/search_product,1,,,5,
129,50,Pemindahan Pengelola Partner,partners/migration,1,,Rizki,5,
130,18,M-Fino,master/mfino,1,2012/06/07 09:55:44.000000000,Yaddi,,
131,18,Upload Mfino,upload,1,2012/06/07 09:56:15.000000000,Yaddi,,
150,21,Baru - Input FG Code,product/add_fgcode,1,2013/07/16 14:53:33.000000000,Anto,,
163,0,FAQ,faq,1,2012/06/19 23:16:14.000000000,Yaddi,,
104,66,User Keyword,keyword/generate,1,,Rafi,4,
108,66,Managemen Group,group_management,0,,,5,
169,31,Data - Pengambilan Barang Histori,scan_history,1,,,3,
170,14,Baru - Handset,handset/newHandset,1,,,1,
171,14,Data -  Handset,handset,1,,,2,
172,69,Cari - Pengguna,user_management/search,1,,,3,
173,69,Baru - Pengguna,user_management/index/add,1,,,2,
174,69,Data - Pengguna,user_management/index/add,1,,,1,
175,62,Data - Berita,news,1,,,1,
176,62,Baru - Berita,news/index/add,1,,,2,
177,56,Baru -  Agent,master/agents/new,0,,,,
178,60,Data - Galeri,master/gallery,1,,,1,
179,60,Baru - Galeri,master/gallery/new,1,,,2,
180,139,Data - Usergroup Alias,group_alias,0,,,,
167,66,Manajemen Group,group_management,1,,,6,
183,93,Baru - Liburan,holiday/index/add,1,,,2,
184,93,Mingguan - Liburan,holiday/weeklyholiday,1,,,3,
185,122,Data - Klaim Kartu Garansi,klaim_kartu_garansi/index/add,1,,,1,
186,122,Baru - Klaim Kartu Garansi,klaim_kartu_garansi,1,,,2,
187,189,Data - Alokasi Target,target/allocate,1,,,1,
188,189,Baru - Alokasi Target,target/allocate/new,1,,,2,
189,125,Data - Persetujuan KPI,target,1,,,1,
190,125,Baru - Persetujuan KPI,target/approve/new,1,,,2,
191,7,Bagan Teritori,territory/chart,1,,,3,
192,7,Cari Teritori,territory/search,1,,,4,
195,194,Konsinyasi - Titip,consignment/add,1,2012/07/19 22:12:48.000000000,Yaddi,,
198,197,Baru - Penjualan (Sell Out),sell_out/create,1,,donny,1,
199,197,List - Penjualan (Sell Out),sell_out/,1,,donny,2,
200,97,Sell In Due Date,due_date,1,,Alfin,,
201,31,Credit Limit,scan/credit_limit,1,,,4,
202,68,User Group Alias,group_alias,1,,Alfin,,
206,165,,,,,,,
207,165,,,,,,,
209,41,Data - Sales Order History,master/salesOrder/history,1,,Alfin,2,
213,17,Outlet Category,outlet/category,1,2013/01/19 12:17:22.000000000,yaddis-admin,,
214,17,Baru - Outlet Category,outlet/category/add,1,2013/01/19 12:17:59.000000000,yaddis-admin,,
165,164,Laporan HQ,,0,2012/07/01 20:01:35.000000000,Rizki,,
216,34,Kunjungan CC,jc/cc,0,,,,
120,34,Kunjungan DS,jc/ds,0,,,2,
219,34,Kunjungan DSTL,jc/dstl,0,,,,
218,34,Kunjungan MD,jc/merchan,0,,,,
211,34,Kunjungan SGA,jc/sga,0,,,,
215,34,Kunjungan SGP,jc/sgp,0,,,,
166,34,Kunjungan SGS,journey_cycle/sgs,0,,,3,
217,34,Kunjungan SGS,jc/sgs,0,,,,
220,34,Kunjungan SPA,jc/spa,0,,,,
212,34,Smiley,jc/smile,0,,,4,
122,30,Klaim Kartu Garansi,klaim_kartu_garansi,0,,,10,
182,93,Data - Liburan,,1,,,1,
205,245,Laporan Realtime,reports/hq,1,2012/09/18 10:35:16.000000000,Rizki,,
204,164,Laporan Excel,download,0,2012/09/18 10:35:13.000000000,Rizki,,
164,0,Laporan,,0,2012/06/21 15:57:16.000000000,Rizki,,
126,245,Download (Old),download,1,,,3,
208,245,Laporan CSV,download,1,2012/09/18 10:36:42.000000000,Rizki,4,
203,245,Laporan Realtime,reports,1,2012/09/18 10:37:34.000000000,Rizki,6,
235,30,JC OM,jc/outletmanager,1,2014/08/31 22:21:23.465443000,admin,2,
222,221,Target Call,merchandiser/target_call,1,,,,
223,221,Effective Call,merchandiser/effective_call,1,,,,
224,26,Cluster Boundary,gis/manage,1,,,,
290,43,Upload Data Target,target/upload_data_target,0,2013/07/23 10:51:17.000000000,anto,1,
297,68,Add Outlet Category,lookup_v1/add_outlet_category,1,2013/07/23 15:01:27.000000000,anto,32,
437,68,Potensi Harian Device,lookup_v1/potensiHarianDevice,1,2017/07/25 00:02:51.309444000,bimo,36,
231,50,Pemindahan Partner,partner/migration,1,2013/10/31 16:41:54.000000000,admin,6,
248,50,Outlet Maintain,,1,2015/02/02 08:19:40.289445000,admin,7,
288,286,Outlet Frontliner,ktp/frontliner,1,2015/08/03 21:00:21.361735000,admin,1,
289,286,Agent PIC,ktp/agent,1,2015/08/03 21:00:36.765033000,admin,1,
441,397,Insentif SGS,insentif_sgs/setting,1,2018/03/15 11:16:55.146904000,IT,,
307,302,Download Data Target,target/to_download_data_target,0,2013/08/19 16:55:10.000000000,anto,,
291,236,Branding Image Type,branding/options/brandingmenu,1,2015/08/03 21:50:11.927336000,admin,,
102,236,Merchandising,merchandising,1,,,1,
240,236,Upload PKS,pks,1,2014/08/31 22:33:39.831100000,admin,2,
241,236,Outlet PSSO,branding,1,2014/08/31 22:33:39.831100000,admin,3,
210,0,Program Cluster,,1,,alfin,1,
225,210,Program Cluster,lookup_v1/program,1,2013/09/01 01:45:47.000000000,yaddis-admin,,
292,66,Prepaid Registration,prepaid,1,2015/08/03 22:04:07.779248000,admin,8,
226,68,Data Outlet Category,lookup_v1/view_outlet_category,1,2013/09/01 02:01:56.000000000,anto,,
69,66,Managemen Pengguna,user_management,1,,,2,
298,66,Akses Grup Mobile,grouprole_mobile,1,,,7,
227,0,Token,token,1,2013/09/10 13:16:04.000000000,yaddis-admin,,
24,23,New Service,services/index/new,1,,,1,
294,50,Venue,,1,2015/12/29 10:09:08.000000000,andedi,,
293,286,User Group,ktp/user_group,1,2015/12/29 06:51:19.000000000,andedi,4,
434,414,Target SFA & CVS,coin_distributor/target_sfa_cvs,1,2017/05/23 09:36:55.000000000,robai,7,
242,14,Update - Handset,handset/update,0,,,,
18,0,Tabel Referensi,holiday,1,,,13,
302,43,Data Target,,0,2013/08/19 10:58:06.000000000,anto,,
303,302,Baru - Upload Data Target,target/upload_data_target,0,2013/08/19 10:59:49.000000000,anto,,
304,302,Data - Data Target Temporary,target/view_data_target_temp,0,2013/08/19 11:03:59.000000000,anto,,
305,302,Data - Data Target Final,target/view_data_target_final,0,2013/08/19 11:04:33.000000000,anto,,
369,17,Hapus Massal Outlet,outlet/bulk_delete,1,2016/02/09 16:38:33.000000000,andedi,,
348,21,Stok Distributor,,1,2013/12/19 23:25:34.000000000,ilham,,
349,348,Head Office,download/distributor_stock_report,1,2013/12/19 23:26:14.000000000,ilham,,
350,348,Region,download/distributor_stock_report_region,1,2013/12/19 23:26:46.000000000,ilham,,
351,348,Cluster,download/distributor_stock_report_cluster,1,2013/12/19 23:27:12.000000000,ilham,,
370,18,Iklan,advertisement,1,2016/03/08 05:24:13.000000000,andedi,3,
308,43,Data Target,,1,2013/12/19 23:18:28.000000000,anto,,
358,357,Baru - Input Isis Name,product/add_isis_name,1,2014/04/07 21:26:18.000000000,anto,1,
359,357,Data - View Isis Name,product/view_isis_name,1,2014/04/07 21:27:11.000000000,anto,2,
357,21,Isis Name,,1,2014/04/07 21:25:32.000000000,anto,7,
360,21,Group Item,,1,2014/04/07 21:30:17.000000000,anto,8,
361,360,Baru - Input Group Item,product/add_group_item,1,2014/04/07 21:31:21.000000000,anto,1,
362,360,Data - View Group Item,product/view_group_item,1,2014/04/07 21:31:52.000000000,anto,2,
363,21,Category Name,,1,2014/04/07 21:32:26.000000000,anto,9,
364,363,Baru - Input Category Name,product/add_category_name,1,2014/04/07 21:32:59.000000000,anto,1,
365,363,Data - View Category Name,product/view_category_name,1,2014/04/07 21:33:41.000000000,anto,2,
366,17,Outlet - Undelete,outlet/undelete,1,2014/04/15 14:49:05.000000000,anto,5,
196,194,Konsinyasi - Ambil,consignment/detail,1,2012/07/19 22:13:21.000000000,Yaddi,,
237,236,,pks/add,0,2014/08/31 22:33:39.831100000,admin,,
238,236,,branding/detail,0,2014/08/31 22:33:39.831100000,admin,,
239,236,,pks/detail,0,2014/08/31 22:33:39.831100000,admin,,
55,3,Agent - New,agents/add,1,,,2,
233,21,Hierarchy Produk,product/hierarchy,1,2014/06/28 10:29:04.000000000,admin,,
236,30,Branding,,1,2014/08/31 22:29:55.452023000,admin,12,
221,30,Merchandiser (MD),,1,,,13,
234,17,Update Long - Lat,outlet/upload,1,2014/06/29 13:50:33.000000000,admin,,
68,0,Pengaturan,,1,,,,
245,0,Report,,1,2014/11/17 06:48:43.469188000,admin,,
230,245,Log Item Background Proses,reports/log_item_background_process,1,2013/10/08 14:18:33.000000000,ilham,4,
309,245,Baru - Upload Data Target,reports/upload_data_target,1,2013/12/19 23:19:17.000000000,anto,,
340,245,Data - View Data Target,reports/view_data_target,1,2013/12/19 23:19:52.000000000,anto,,
246,245,Download Report (New),report,1,2014/11/18 06:07:09.494007000,admin,1,
356,245,Laporan CSV 2014,download/report_csv,1,2014/02/03 22:16:14.000000000,anto,5,
229,245,Laporan Oltp Checkin Checkout,reports/oltp_checkin_checkout,1,2013/10/01 14:09:08.000000000,anto,7,
228,245,Laporan Oltp Login Logout,reports/oltp_login_logout,1,2013/09/16 14:22:31.000000000,anto,8,
299,245,Log Background Proses,reports/log_background_process,1,,ilham,9,
247,245,Hak Akses Report,report/acl,1,2014/11/18 06:10:39.086711000,admin,0,
249,248,Data Outlet Maintain,outletmaintain,1,2015/02/02 08:20:36.941005000,admin,1,
250,248,Edit Outlet Maintain,outletmaintain/add,1,2015/02/02 08:21:00.355441000,admin,2,
251,248,Outlet Maintain Preference,outletmaintain/preference,1,2015/02/02 08:24:51.474009000,admin,3,
252,245,Rerun Background Proses,report/rerun,1,2015/02/02 10:17:57.942837000,admin,,
25,23,Services List,services,1,,,2,
371,23,My Services,services/acl,1,2016/03/31 06:19:13.000000000,andedi,3,
372,23,Datasource,datasource,1,2016/03/31 06:19:37.000000000,andedi,4,
442,18,On/Off Geotag,geotag,1,2018/08/20 23:03:07.879568000,admin,4,
295,294,Venue Add,venue/add,1,2015/12/29 10:10:22.000000000,andedi,1,
368,294,Venue List,venue,1,2015/12/29 10:16:32.000000000,andedi,2,
296,294,Venue Mapping,venue/mapping,1,2015/12/29 10:10:25.000000000,andedi,3,
375,294,Import Excel,venue/importExcel,1,2016/03/31 06:22:17.000000000,andedi,4,
401,414,Trading Term,coin_distributor/trading,1,2017/03/01 14:50:57.000000000,andedi,2,
376,50,Endorser,endroser_controller,1,2016/05/09 06:30:30.000000000,admin,,
410,414,Serviceplan,coin_distributor/serviceplan/group_serviceplan,1,2017/03/01 14:50:57.000000000,andedi,3,
403,414,Group SKU Lines,coin_distributor/sku_lines/group_sku_lines,1,2017/03/01 14:50:57.000000000,andedi,4,
415,414,Cut off week,coin_distributor/cut_off_week,1,2017/01/31 11:29:47.000000000,andedi,,
398,414,Target,coin_distributor/target,1,2017/03/01 14:50:57.000000000,andedi,5,
399,414,Revisi Target,coin_distributor/target_revision,1,2017/03/01 14:50:57.000000000,andedi,6,
377,194,Konsinyasi - Ambil (4G In Couple),consignment_cwh_cdma,1,2016/06/08 05:34:24.000000000,andedi,,
379,68,CWH CDMA,item_cwh_cdma,1,2016/06/08 05:34:24.000000000,andedi,,
378,68,CWH LTE,item_cwh_lte,1,2016/06/08 05:34:24.000000000,andedi,,
443,245,Outlet Survey,,1,2018/09/07 01:43:32.998107000,nh,,
380,50,Gudang,warehouse,1,2016/10/03 14:29:22.000000000,andedi,,
444,443,Questioner JC,survey/report_question_jc,1,2018/09/07 01:44:56.634844000,nh,,
445,443,Summary Questioner JC,survey/summary_question_jc,1,2018/09/07 01:44:59.524902000,nh,,
446,443,Questioner Eload & SP,survey/report_question,1,2018/09/07 01:45:01.637138000,nh,,
447,443,Summary Questioner Eload & SP,survey/summary_question,1,2018/09/07 01:45:03.760246000,nh,,
448,443,Detail,survey/detail,1,2018/09/07 01:45:05.916173000,nh,,
449,443,Summary,survey/summary,1,2018/09/07 01:45:08.471360000,nh,,
450,30,Virtual Buyback,#,1,,,15,
451,450,Baru - Setting Rule,virtualbuyback,1,,,1,
452,450,Data - Histori,hvirtualbuyback,1,,,2,
454,392,Data - Goods Receive By DO Number,goods_received/add_by_do,1,2019/04/15 13:57:07.292414000,it-ops,,
453,245,Laporan Oltp Sellthru,oltp_sellthru/display,1,2018/11/28 14:22:31.000000000,ariefw,9,
386,385,Tambah - Stock Opname,stock_opname_autosave/add,1,2016/10/03 14:29:22.000000000,andedi,,
455,97,Baru - Penjualan Outlet Tertentu (Sell In),sell/newsell_whitelist,1,,agussaktiyono,2,
458,18,Outlet Class Rank Config,outlet_class_config,1,2019/09/17 10:50:00.533139000,IT,3,
384,21,Item Non Allocation,item_non_allocation,1,2016/10/03 14:29:22.000000000,andedi,,
456,30,Upload JC,jc/upload,1,,agussaktiyono,2,
457,97,Tambah Outlet Tertentu (Sell In),sell/whitelist_outlet/list,1,,agussaktiyono,3,
419,414,Coin Product,coin_distributor/coin_product,1,2017/04/03 18:27:13.000000000,rizal,5,
382,381,Tambah - Sell Thru Non Allocation,sell_non_allocation/add,1,2016/10/03 14:29:22.000000000,andedi,,
383,381,Data - Sell Thru Non Allocation,sell_non_allocation,1,2016/10/03 14:29:22.000000000,andedi,,
387,385,Data - Stock Opname,stock_opname,1,2016/10/03 14:29:22.000000000,andedi,,
390,389,Tambah - Pemindahan Barang,item_transfer/transfer,1,2016/10/03 14:29:22.000000000,andedi,,
391,389,Data - Pemindahan Barang,item_transfer,1,2016/10/03 14:29:22.000000000,andedi,,
393,392,Data - Goods Receive,goods_received,1,2016/10/03 14:29:22.000000000,andedi,,
394,392,Tambah - Goods Receive,goods_received/add,1,2016/10/03 14:29:22.000000000,andedi,,
396,395,Proses Query,pg_stat_activity,1,2016/12/16 14:15:01.000000000,andedi,1,
395,66,Monitoring,,1,2016/12/16 14:13:34.000000000,andedi,9,
409,414,Sell In Achievement,coin_distributor/sell_in_achievement,1,2017/03/01 14:50:57.000000000,andedi,4,
412,414,Group Trading Term,coin_distributor/trading/trading_term_group,1,2017/03/01 14:50:57.000000000,andedi,6,
402,414,Deduction,coin_distributor/deduction,1,2017/03/01 14:50:57.000000000,andedi,99,
400,414,Target DL Effective,coin_distributor/target_dl_effective,1,2017/03/01 14:50:57.000000000,andedi,,
416,414,Matriks Payout,coin_distributor/matrix_payout,1,2017/03/01 20:49:39.000000000,andedi,12,
388,30,Merchandising,merchandising,1,2016/10/03 14:29:22.000000000,andedi,14,
392,30,Goods Receive,#,1,2016/10/03 14:29:22.000000000,andedi,15,
389,30,Pemindahan Barang,#,1,2016/10/03 14:29:22.000000000,andedi,16,
385,30,Stock Opname,#,1,2016/10/03 14:29:22.000000000,andedi,17,
381,30,Penjualan (Sell Thru Non Allocation),#,1,2016/10/03 14:29:22.000000000,andedi,18,
417,30,Buyback,buyback,1,,andedi,19,
418,414,Mapping Item All Gorup,coin_distributor/mapping_item/mapping,1,,rizal,1,
405,414,Group Insentif DS,coin_distributor/insentif_ds/group_insentif_ds,1,2017/03/01 14:50:57.000000000,andedi,13,
407,414,Group Insentif Smile,coin_distributor/insentif_smile/group,1,2017/03/01 14:50:57.000000000,andedi,15,
420,21,QR Code Generator,item_qrcode,1,2017/04/05 08:06:01.000000000,robai,10,
421,66,Mobile App,mobile_app,1,2017/04/25 00:07:53.353405000,dody.indarto,6,
422,30,Taking Order,taking_order,1,2017/04/25 00:07:53.401681000,dody.indarto,14,
423,0,Absent,,1,,andedi,,
424,423,Data Absensi,office/absent,1,2017/04/28 17:45:25.000000000,robai,1,
425,423,Setting User Group,office/user_group,1,2017/04/28 15:37:46.000000000,robai,5,
426,423,Mapping Lokasi Absensi,office/location,1,2017/04/28 10:06:30.000000000,robai,3,
427,423,Office,office,1,2017/04/28 10:05:46.000000000,robai,2,
428,423,Setting,office/setting,1,2017/04/28 10:05:18.000000000,robai,4,
