user_group_id,user_group_name,parent_id,istatus,created_by,created_on,updated_by,updated_on,having_stock,territory_type_id,user_group_caption,is_use_top,is_use_handset,is_use_credit_limit,is_self_service,allow_scan_in,allow_sell_in,allow_mobsell,allow_consignment,allow_sell_out,allow_to_sris,having_jc
36,Smartfren Gadget Ambassador,4,1,admin,2013/03/10 10:13:28.812345000,10003409,2013/05/13 03:35:05.858130000,1,5,SGA,0,1,1,0,1,1,1,,1,1,1
37,Smartfren Gadget Promotor,4,1,admin,2013/03/10 10:14:23.171419000,andedi,2017/03/24 15:46:06.487603000,0,5,SGP,0,1,1,0,0,0,0,0,1,1,1
38,Cluster Distributor,4,1,10003409,2013/07/31 15:36:48.789458000,10003409,2015/04/17 11:31:40.608692000,0,3,CD,0,0,0,0,0,0,0,0,0,1,0
40,HO_REPORTING,18,1,10003409,2014/01/30 10:25:55.912221000,10003409,2014/06/24 10:19:32.000000000,0,1,HRP,0,0,0,0,0,,,,,1,0
41,SGP Team Leader,4,1,10003409,2014/04/01 09:46:32.374562000,andedi,2017/03/24 15:56:22.678065000,1,3,TLSGP,1,1,0,0,0,0,0,0,0,1,1
42,GALLERY,18,1,10001243,2014/04/14 10:30:03.047855000,,2014/04/14 10:30:03.047855000,0,1,GAL,0,0,0,0,0,,,,,1,0
43,SGP Mobile,4,1,10003409,2014/04/30 13:52:13.686925000,andedi,2017/03/24 15:56:25.541366000,1,3,SGPM,1,1,0,0,0,0,0,0,0,1,1
44,SALES_FORCE_HO,18,1,10003409,2014/05/05 14:26:12.218097000,10003409,2016/04/12 08:58:21.458086000,0,1,SFHO,0,0,0,0,0,0,0,0,0,1,0
45,PSOM,2,1,10003409,2014/06/16 15:08:07.311904000,10003409,2014/11/07 09:25:50.063917000,1,2,PSOM,1,1,0,1,0,0,0,0,0,1,1
46,Brand Activation Region,2,1,10003409,2014/08/07 15:14:23.443378000,,2014/08/07 15:14:23.443378000,0,2,RBA,0,0,0,0,0,,,,,1,0
47,BA Stardom,18,1,10003409,2014/09/16 17:35:00.855952000,,2014/09/16 17:35:00.855952000,0,1,BASD,0,0,0,0,0,,,,,1,0
48,Stok Distributor Report,18,1,10003409,2015/02/16 16:34:46.848467000,,2015/02/16 16:34:46.848467000,0,1,SDR,0,0,0,0,0,,,,,1,0
49,PSOM HeadOffice,18,1,10003409,2015/04/20 14:20:16.876622000,,2015/04/20 14:20:16.876622000,0,1,PSOMHO,0,1,0,0,0,,,,,1,0
50,MTRASS,18,1,10004042,2015/04/22 14:36:42.383209000,,2015/04/22 14:36:42.383209000,0,1,MTS,0,0,0,0,0,,,,,1,0
51,Modern Channel PSOM,2,1,admin,2015/07/02 11:36:36.075155000,,2015/07/02 11:36:36.075155000,1,2,MCPSOM,1,1,0,1,0,,,,,1,1
52,CSO,18,1,10004042,2015/08/05 11:17:37.085517000,,2015/08/05 11:17:37.085517000,0,1,CSO,0,0,0,0,0,,,,,1,0
53,Smartfren Mall Leader,4,1,10003409,2015/09/01 15:17:26.907501000,,2015/09/01 15:17:26.907501000,1,3,SML,1,1,0,0,1,1,1,1,1,1,1
54,Business Compliance & Commercial,18,1,10004042,2015/09/04 15:04:38.490356000,10003409,2015/09/10 08:49:29.627076000,0,1,BCC,0,0,0,0,0,0,0,0,0,1,0
55,SmartAgri,18,1,10003409,2015/09/28 17:17:43.092289000,10003409,2015/09/30 09:49:03.033412000,0,1,SAG,0,0,0,0,0,0,0,0,0,1,0
56,SGS MC,2,1,10003409,2015/12/10 18:53:00.153294000,10003409,2017/02/06 14:32:17.689286000,1,2,SGSMC,1,1,0,0,1,1,1,1,1,1,1
58,Call Center,18,1,10003409,2015/12/11 09:12:33.912861000,10003409,2017/10/13 19:56:32.125886000,0,1,CallC,0,1,0,0,0,0,0,0,0,1,0
59,Call Center Umum,18,1,10003409,2016/01/15 15:24:51.359355000,10003409,2016/07/25 08:29:59.202857000,0,1,CCU,0,0,0,0,0,0,0,0,0,1,0
60,Corporate,4,1,10003409,2016/01/18 10:04:19.199350000,10003409,2016/01/18 10:38:57.863239000,1,5,COR,0,1,0,0,0,0,0,0,0,1,0
61,Commercial Allocation,18,1,10003409,2016/03/16 18:11:06.247577000,10003409,2016/03/16 18:11:45.081876000,0,1,COA,0,0,0,0,0,0,0,0,0,1,0
62,Ecosystem,18,1,10003409,2016/04/01 09:30:51.772330000,,2016/04/01 09:30:51.772330000,0,1,ECO,0,0,0,0,0,,,,,1,0
63,CANVASSER,4,1,10003409,2016/05/25 09:43:15.764426000,,2016/05/25 09:43:15.764426000,1,5,CVS,1,1,1,0,1,1,,1,,1,1
64,SGL MC,2,1,10003409,2016/09/28 16:18:07.317995000,,2016/09/28 16:18:07.317995000,0,2,SGLMC,1,1,0,0,1,1,1,1,1,1,1
65,Cluster Warehouse,4,1,10003409,2016/11/07 10:54:00.369572000,,2016/11/07 10:54:00.369572000,0,3,CW,0,0,0,0,0,,,,,1,0
66,OMH HO,18,1,10003409,2017/01/10 14:23:59.219935000,burhan,2018/07/27 15:11:52.540768000,0,1,OMH HO,0,0,0,0,0,0,0,0,0,1,0
67,Attendance Group,4,1,10003409,2017/01/16 14:40:32.611181000,CHRYSTIADI.HARRIS,2017/10/19 16:23:38.329171000,0,5,AG,0,1,0,0,0,0,0,0,0,1,0
68,Finance_Audit,2,1,10003409,2017/01/26 11:02:29.791220000,10003409,2017/01/26 11:04:51.683167000,1,2,FINA,1,1,0,0,0,0,0,0,0,1,1
69,Brand Comm,10,1,50002084,2017/01/26 11:40:52.060195000,50002084,2017/02/06 14:12:30.802259000,0,1,BCM,0,0,0,0,0,0,0,0,0,1,0
70,GEM,2,1,10003409,2017/02/01 13:12:23.639549000,,2017/02/01 13:12:23.639549000,1,2,GEM,1,1,0,0,0,,,,,1,1
71,Gallery Operation,4,1,10003409,2017/02/24 09:47:38.720528000,10003409,2017/05/30 15:20:25.804453000,0,3,GOP,0,1,0,0,0,0,0,0,0,1,0
72,Cluster Head,2,1,10003409,2017/03/29 17:11:07.961100000,,2017/03/29 17:11:07.961100000,0,2,CH,0,0,0,0,0,,,,,1,0
73,Trade Communication,18,1,10003409,2017/05/04 10:21:26.100943000,,2017/05/04 10:21:26.100943000,0,1,TCM,0,0,0,0,0,,,,,1,0
74,IT Operations,18,1,10003409,2017/06/08 09:59:36.867887000,,2017/06/08 09:59:36.867887000,0,1,ITOC,0,0,0,0,0,,,,,1,0
75,MD MC,2,1,10003409,2017/09/08 10:56:37.595175000,,2017/09/08 10:56:37.595175000,0,2,MDMC,0,1,0,0,0,,,,,1,1
76,Outlet Bandar,4,1,10003409,2017/09/27 16:53:24.320557000,10003409,2019/02/20 11:48:36.168250000,0,5,OBR,0,0,0,0,0,0,0,0,0,1,0
77,SCC,4,1,10003409,2017/11/10 13:38:01.969538000,burhan,2018/03/21 17:28:26.034565000,0,3,SCC,0,1,0,0,0,0,0,0,0,1,1
78,Gallery Check Package,18,1,10003409,2017/11/27 15:50:52.074780000,,2017/11/27 15:50:52.074780000,0,1,GCP,0,0,0,0,0,,,,,1,0
79,HR Admin,10,1,10003409,2018/01/09 11:56:22.294515000,10003409,2018/01/17 17:22:02.851455000,0,1,HRA,0,0,0,0,0,0,0,0,0,1,0
80,Outlet Bandar Test,4,1,burhan,2018/02/23 14:14:03.789612000,,2018/02/23 14:14:03.789612000,0,5,OBT,0,0,0,0,0,,,,,1,0
81,SFA MC,2,1,10003409,2015/12/10 18:56:00.087071000,nutech,2016/08/24 13:35:27.400186000,1,2,SFAMC,0,1,0,0,1,1,1,1,0,1,1
82,Finance_Audit_HO,18,1,burhan,2018/03/07 13:48:46.980028000,burhan,2018/08/31 14:37:49.205154000,0,1,FAO,0,1,0,0,0,0,0,0,0,1,0
83,Cluster Support MC,2,1,burhan,2018/09/26 10:25:34.567868000,,2018/09/26 10:25:34.567868000,0,2,RCSMC,0,0,0,0,0,,,,,1,0
84,OMH Channel Development,2,1,burhan,2018/10/16 15:55:20.126058000,,2018/10/16 15:55:20.126058000,1,2,OCD,0,1,0,0,0,,,,,1,1
85,Retail Outlet Management,2,1,88003651,2018/12/21 14:52:45.845616000,,2018/12/21 14:52:45.845616000,0,2,ROM,0,1,0,0,0,,,,,1,1
86,Sales Force Management,2,1,88003651,2018/12/21 14:54:45.787684000,,2018/12/21 14:54:45.787684000,0,2,SFM,0,1,0,0,0,,,,,1,1
87,OMH Business Development,18,1,88003651,2019/01/16 09:34:00.330618000,88003651,2019/01/17 15:40:57.112520000,1,1,OBD,0,0,0,0,0,0,0,0,0,1,0
88,KURIR,4,1,10003409,2017/04/05 14:40:03.626691000,,2017/04/05 14:40:03.626691000,0,3,KUR,1,1,0,0,1,1,1,1,1,1,1
89,SGS Buffer,4,1,10003409,2019/04/09 10:11:44.905549000,,2019/04/09 10:11:44.905549000,1,3,SBF,0,1,0,0,0,,,,,1,1
90,SGS Mobile Selling,4,1,10003409,2019/06/12 10:50:37.687038000,10003409,2019/06/20 10:07:45.405332000,1,6,SMS,1,1,1,0,1,1,1,1,0,1,1
91,SGS Direct Selling,38,1,10003409,2019/07/04 13:15:18.088254000,,2019/07/04 13:15:18.088254000,1,6,SDS,0,1,0,0,1,1,1,,,1,1
92,Region Business Development,2,1,10003409,2019/07/18 09:22:26.312697000,10003409,2019/08/13 16:19:22.543402000,0,2,RBD,0,1,0,0,0,0,0,0,0,1,1
93,Cluster Business Development,4,1,10003409,2019/07/18 09:23:41.168437000,10003409,2019/08/13 16:18:49.361688000,0,3,CBD,0,1,0,0,0,0,0,0,0,1,1
94,CLM,10,1,10003409,2019/08/28 15:52:28.805412000,,2019/08/28 15:52:28.805412000,0,1,CLM,0,0,0,0,0,,,,,1,0
