user_id;user_name
VacantGal_Kuningan;VacantGal_Kuningan
VacantGal_Lombok;VacantGal_Lombok
VacantGal_Manado;VacantGal_Manado
VacantGal_Mataram;VacantGal_Mataram
VacantGal_Metropolitan;VacantGal_Metropolitan
VacantGal_Mojokerto;VacantGal_Mojokerto
VacantGal_Monginsidi;VacantGal_Monginsidi
VacantGal_MulyosariSby;VacantGal_MulyosariSby
VacantGal_Padang;VacantGal_Padang
VacantGal_Padjajaran;VacantGal_Padjajaran
VacantGal_Pamekasan;VacantGal_Pamekasan
VacantGal_Pare-Pare;VacantGal_Pare-Pare
VacantGal_Pasuruan;VacantGal_Pasuruan
VacantGal_Pekanbaru;VacantGal_Pekanbaru
VacantGal_Pengayoman;VacantGal_Pengayoman
VacantGal_Perawang;VacantGal_Perawang
VacantGal_PIK;VacantGal_PIK
VacantGal_Ponorogo;VacantGal_Ponorogo
VacantGal_Pontianak;VacantGal_Pontianak
VacantGal_Prabumulih;VacantGal_Prabumulih
VacantGal_Purwokerto;VacantGal_Purwokerto
VacantGal_Sabang;VacantGal_Sabang
VacantGal_Salatiga;VacantGal_Salatiga
VacantGal_Serang;VacantGal_Serang
VacantGal_SGM;VacantGal_SGM
VacantGal_Sidoarjo;VacantGal_Sidoarjo
VacantGal_Singaraja;VacantGal_Singaraja
VacantGal_Subang;VacantGal_Subang
VacantGal_Suci;VacantGal_Suci
VacantGal_Sukabumi;VacantGal_Sukabumi
VacantGal_SuncityMadiu;VacantGal_SuncityMadiu
VacantGal_TamanAnggrek;VacantGal_TamanAnggrek
VacantGal_TangKota;VacantGal_TangKota
VacantGal_Tasikmalaya;VacantGal_Tasikmalaya
VacantGal_Timoho;VacantGal_Timoho
VacantGal_Tuban;VacantGal_Tuban
VacantGal_Tulungagung;VacantGal_Tulungagung
VACANTHREJ;VACANTHREJ
VACANTHRSL;VACANTHRSL
VACANTINDOBES;VACANTINDOBES
VACANTINDOMARET;VACANTINDOMARET
VacantJB02;VacantJB02
VacantJB05;VacantJB05
VacantJB06;VacantJB06
VacantJB07;VacantJB07
VacantJB09;VacantJB09
VacantJB10;VacantJB10
VacantJB11;VacantJB11
VacantJB17;VacantJB17
VacantJB18;VacantJB18
VacantJB20;VacantJB20
VacantJB22;VacantJB22
VacantJB23;VacantJB23
VacantJB24;VacantJB24
VacantJB26;VacantJB26
VacantJB28;VacantJB28
VacantJB29;VacantJB29
VACANTJB30;VACANTJB30
VACANTJB31;VACANTJB31
VACANTKIOSON;VACANTKIOSON
VACANTKUDO;VACANTKUDO
VacantOMH;VacantOMH
VacantRHBisstel;VacantRHBisstel
VACANTRHBL;VACANTRHBL
VacantRHCJ;VacantRHCJ
VacantRHCO;VacantRHCO
VACANTRHCS;VACANT RH CENTRAL SUMATERA
VacantRHDS;VacantRHDS
VacantRHECO;VacantRHECO
VacantRHGallery;VacantRHGallery
VACANTRHGEM;VACANTRHGEM
VACANTRHHO;VACANTRHHO
VACANTRHHR;VACANTRHHR
VACANTRHNUBIA;VACANTRHNUBIA
VACANTRHOO;VACANTRHOO
VACANT_RH_REMOTE_AREA;VACANT RH REMOTE AREA
VacantRHSMB;VacantRHSMB
VacantRHSul;VacantRHSul
VacantRHTS;VacantRHTS
VacantRHWJ;VacantRHWJ
VACANTSENTRA;VACANTSENTRA
VacantSL03;VacantSL03
VacantSL05;VacantSL05
VACANTSL08;VACANTSL08
VacantSS02;VacantSS02
VacantTokopedia;VacantTokopedia
VacantWJ03;VacantWJ03
VacantWJ07;VacantWJ07
VacantWJ08;VacantWJ08
VacantWJ09;VacantWJ09
